recipe_name,recipe_type,category,ratings,ingredients,time_required,calories,fat,carbohydrates,protein,cholesterol,sodium,recipe_categories
Boondi Raita,Veg,Appetizers,0,"['1/2 cup besan (Bengal gram flour)', '2 teaspoons chili powder', 'salt to taste', '1/4 cup water, or as needed', 'oil for deep frying', '3 cups plain yogurt', '1/2 teaspoon cumin powder', '1 sprig curry leaves', '1/2 teaspoon mustard seed']",17 m,241.0,17.4,13.9,8.5,7.0,126.0,"['Snacks', 'Breakfast', 'Indian', 'Veg']"
Indian Masala Chicken Wings,Non-Veg,Appetizers,5,"['2 teaspoons ground coriander', '2 teaspoons ground cumin', '½ teaspoon ground cardamom', '½ teaspoon hot chile powder', '½ teaspoon ground black pepper', '¼ teaspoon ground cloves', '1 tablespoon vegetable oil', '1 tablespoon water', '1 teaspoon salt, or more as needed', '5 large chicken wings, cut in 2, tips discarded']",4 hrs 25 mins,77.0,5.6,0.7,5.8,18.0,251.0,"['Snacks', 'Breakfast', 'Indian', 'Non-Veg']"
Bombay Chicken Wings,Non-Veg,Appetizers,4.38,"['24  chicken wings', '2 tablespoons vegetable oil', '2 tablespoons soy sauce', '2 tablespoons minced green onion', '2 cloves garlic, minced', '1 teaspoon curry powder', '½ teaspoon ground turmeric', '⅛ teaspoon ground black pepper']",1 hr 35 mins,234.0,12.1,1.2,28.5,78.0,386.0,"['Snacks', 'Breakfast', 'Indian', 'Non-Veg']"
Indian Masala Chicken Wings,Non-Veg,Appetizers,5,"['2 teaspoons ground coriander', '2 teaspoons ground cumin', '½ teaspoon ground cardamom', '½ teaspoon hot chile powder', '½ teaspoon ground black pepper', '¼ teaspoon ground cloves', '1 tablespoon vegetable oil', '1 tablespoon water', '1 teaspoon salt, or more as needed', '5 large chicken wings, cut in 2, tips discarded']",4 hrs 25 mins,77.0,5.6,0.7,5.8,18.0,251.0,"['Snacks', 'Breakfast', 'Indian', 'Non-Veg']"
Curried Chicken Phyllo Parcels,Non-Veg,Appetizers,Unrated,"['1 tablespoon vegetable oil', '1 pound ground chicken', '1  onion, diced', '1 clove garlic, crushed', 'salt and ground black pepper to taste', ""2 tablespoons madras curry paste (such as patak's(<sup>&reg;</sup>))"", '1 (13.5 ounce) can unsweetened coconut cream', '1 bunch fresh cilantro, finely chopped, divided', '1 (8 ounce) package phyllo dough', '3\u2009½ tablespoons butter, melted']",1 hr 10 mins,409.0,28.5,21.3,19.0,73.0,324.0,"['Snacks', 'Breakfast', 'Indian', 'Non-Veg']"
Butter Chicken Tarts,Non-Veg,Appetizers,1,"['1 tablespoon white sugar', '1 dash salt', '1 dash ground cumin', '1 dash garlic powder', '½ cup butter, melted', '1 cup all-purpose flour', '1 teaspoon extra-virgin olive oil', '1 small onion, chopped', '2  green onions - chopped, green and white parts separated, divided', '1\u2009½ cups diced cooked chicken breast', '1 teaspoon soy-based liquid seasoning (such as maggi(<sup>&reg;</sup>)), or to taste', 'salt and ground black pepper to taste', '6 ounces butter chicken cooking sauce']",30 mins,344.0,22.7,22.1,12.8,73.0,319.0,"['Snacks', 'Breakfast', 'Indian', 'Non-Veg']"
Cholay (Curried Chickpeas),Veg,IndianMainDishes,4.02597379684448,"['2 cups water', '1 tea bag', '1 bay leaf', '2 (15.5 ounce) cans garbanzo beans, drained', '2 tablespoons vegetable oil, divided', '1 onion, sliced', '3 tomatoes, chopped', '1/4 cup fresh cilantro leaves', '1 teaspoon ground coriander', '1 teaspoon cumin seeds', '1 teaspoon grated fresh ginger root', '1 teaspoon grated garlic', '1 teaspoon ground turmeric (optional)', '1 onion, finely chopped', 'ground cayenne pepper to taste', '1 pinch garam masala (optional)']",45 m,248.0,6.7,40.2,8.5,0.0,446.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Curry in a Hurry,Veg,IndianMainDishes,5,"['5 cups water', '1 (14.5 ounce) can diced tomatoes', '1 (14 ounce) can light coconut milk', '2 cups red lentils', '1 cup frozen chopped spinach', '1 red onion, chopped', '3 tablespoons tomato paste', '2 tablespoons curry powder', '3 cloves garlic, minced', '2 teaspoons vegetable bouillon base (such as better than bouillon® vegetable base)', '1 teaspoon cayenne pepper']",45 m,505.0,10.7,73.1,29.5,0.0,587.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Butternut Squash Coconut Curry,Veg,IndianMainDishes,4.33,"['2 cups diced butternut squash', '1 cup water', '1 tablespoon olive oil', '1 teaspoon salt', '½ teaspoon mustard seeds', '½ teaspoon cumin seeds', '¼ teaspoon cayenne pepper', '¼ teaspoon ground turmeric', '1 (15 ounce) can coconut milk', '1 (15 ounce) can cannellini beans, drained and rinsed', '¼ cup chopped fresh cilantro, or to taste']",35 mins,397.0,26.7,34.2,10.8,0.0,607.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Spicy Lentil Quinoa Curry,Veg,IndianMainDishes,4.80000019073486,"['1 tablespoon olive oil', '1 cup diced onion', '1 cup chopped mushrooms', '1/2 cup chopped carrots', '3 cloves garlic, minced', '4 cups vegetable broth', '1 cup water', '1 cup dry green lentils', '1/2 cup quinoa', '2 tablespoons tomato paste', '2 tablespoons curry powder', '1 tablespoon ground red chile pepper', '1 tablespoon ground cumin', '1 tablespoon ground ginger', '1 teaspoon cayenne pepper', '1 teaspoon garam masala (indian spice blend)', '1 teaspoon ground turmeric', '1 teaspoon salt, or to taste', '1 dash ground black pepper, or to taste', '1/4 cup milk', '1 tablespoon butter']",1 h 10 m,413.0,10.5,62.1,19.8,9.0,1158.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Vegetarian Korma,Veg,IndianMainDishes,4.57621765136719,"['1 1/2 tablespoons vegetable oil', '1 small onion, diced', '1 teaspoon minced fresh ginger root', '4 cloves garlic, minced', '2 potatoes, cubed', '4 carrots, cubed', '1 fresh jalapeno pepper, seeded and sliced', '3 tablespoons ground unsalted cashews', '1 (4 ounce) can tomato sauce', '2 teaspoons salt', '1 1/2 tablespoons curry powder', '1 cup frozen green peas', '1/2 green bell pepper, chopped', '1/2 red bell pepper, chopped', '1 cup heavy cream', '1 bunch fresh cilantro for garnish']",55 m,462.0,31.1,41.3,8.6,82.0,1434.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Red Lentil Curry,Veg,IndianMainDishes,4.50073766708374,"['2 cups red lentils', '1 large onion, diced', '1 tablespoon vegetable oil', '2 tablespoons curry paste', '1 tablespoon curry powder', '1 teaspoon ground turmeric', '1 teaspoon ground cumin', '1 teaspoon chili powder', '1 teaspoon salt', '1 teaspoon white sugar', '1 teaspoon minced garlic', '1 teaspoon minced fresh ginger', '1 (14.25 ounce) can tomato puree']",40 m,192.0,2.6,32.5,12.1,0.0,572.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Spicy Vegan Potato Curry,Veg,IndianMainDishes,4.51672840118408,"['4 potatoes, peeled and cubed', '2 tablespoons vegetable oil', '1 yellow onion, diced', '3 cloves garlic, minced', '2 teaspoons ground cumin', '1 1/2 teaspoons cayenne pepper', '4 teaspoons curry powder', '4 teaspoons garam masala', '1 (1 inch) piece fresh ginger root, peeled and minced', '2 teaspoons salt', '1 (14.5 ounce) can diced tomatoes', '1 (15 ounce) can garbanzo beans (chickpeas), rinsed and drained', '1 (15 ounce) can peas, drained', '1 (14 ounce) can coconut milk']",1 h,407.0,20.1,50.6,10.1,0.0,1176.0,"['Indian Main Dishes', 'Vegan', 'Indian', 'Veg']"
Chickpea Curry,Veg,IndianMainDishes,4.23279666900635,"['2 tablespoons vegetable oil', '2 onions, minced', '2 cloves garlic, minced', '2 teaspoons fresh ginger root, finely chopped', '6 whole cloves', '2 (2 inch) sticks cinnamon, crushed', '1 teaspoon ground cumin', '1 teaspoon ground coriander', 'salt', '1 teaspoon cayenne pepper', '1 teaspoon ground turmeric', '2 (15 ounce) cans garbanzo beans', '1 cup chopped fresh cilantro']",40 m,135.0,4.5,20.5,4.1,0.0,289.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Baingan Bharta (Eggplant Curry),Veg,IndianMainDishes,4.32631587982178,"['1 large eggplant', '2 tablespoons vegetable oil', '1 teaspoon cumin seeds', '1 medium onion, thinly sliced', '1 tablespoon ginger garlic paste', '1 tablespoon curry powder', '1 tomato, diced', '1/2 cup plain yogurt', '1 fresh jalapeno chile pepper, finely chopped', '1 teaspoon salt', '1/4 bunch cilantro, finely chopped']",1 h,146.0,8.0,15.2,4.0,2.0,739.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Aloo Phujia,Veg,IndianMainDishes,4.40990972518921,"['1 onion, chopped', '1/4 cup vegetable oil', '1 pound potatoes, peeled and cubed', '1 teaspoon salt', '1/2 teaspoon cayenne pepper', '1/2 teaspoon ground turmeric', '1/4 teaspoon ground cumin', '2 tomatoes, chopped']",30 m,235.0,14.1,25.7,3.3,0.0,593.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Indian Shrimp Curry,Veg,IndianMainDishes,4.45054960250854,"['2 tablespoons peanut oil', '1/2 sweet onion, minced', '2 cloves garlic, chopped', '1 teaspoon ground ginger', '1 teaspoon ground cumin', '1 1/2 teaspoons ground turmeric', '1 teaspoon paprika', '1/2 teaspoon red chili powder', '1 (14.5 ounce) can chopped tomatoes', '1 (14 ounce) can coconut milk', '1 teaspoon salt', '1 pound cooked and peeled shrimp', '2 tablespoons chopped fresh cilantro']",30 m,416.0,32.1,10.9,23.0,146.0,930.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Indian Eggplant - Bhurtha,Veg,IndianMainDishes,4.52573537826538,"['1 eggplant', '2 tablespoons vegetable oil', '1/2 teaspoon cumin seeds', '1 medium onion, sliced', '1 teaspoon chopped fresh ginger', '1 large tomato - peeled, seeded and diced', '1 clove garlic, minced', '1/2 teaspoon ground turmeric', '1/2 teaspoon ground cumin', '1/2 teaspoon ground coriander', '1/4 teaspoon cayenne pepper', '1/2 teaspoon salt, or to taste', 'ground black pepper to taste', '1/4 cup chopped fresh cilantro']",1 h 5 m,119.0,7.4,13.4,2.4,0.0,300.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Indian Dahl with Spinach,Veg,IndianMainDishes,4.14693880081177,"['1 1/2 cups red lentils', '3 1/2 cups water', '1/2 teaspoon salt', '1/2 teaspoon ground turmeric', '1/2 teaspoon chili powder', '1 pound spinach, rinsed and chopped', '2 tablespoons butter', '1 onion, chopped', '1 teaspoon ground cumin', '1 teaspoon mustard seed', '1 teaspoon garam masala', '1/2 cup coconut milk']",40 m,362.0,13.4,44.9,21.0,15.0,693.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Absolutely Perfect Palak Paneer,Veg,IndianMainDishes,3.92887020111084,"['6 tablespoons olive oil', '2 cloves garlic, chopped', '1 tablespoon grated fresh ginger root', '2 dried red chile peppers (optional)', '1/2 cup finely chopped onion', '2 teaspoons ground cumin', '1 teaspoon ground coriander', '1 teaspoon ground turmeric', '3/4 cup sour cream', '3 pounds fresh spinach, torn', '1 large tomato, quartered', '4 sprigs fresh cilantro leaves', '8 ounces ricotta cheese', 'coarse sea salt to taste']",45 m,483.0,36.3,27.3,19.5,37.0,544.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Indian Fish Curry,Veg,IndianMainDishes,4.57272720336914,"['For the marinade:', '2 teaspoons Dijon mustard', '1 teaspoon ground black pepper', '1/2 teaspoon salt', '2 tablespoons canola oil', '4 white fish fillets', '1 onion, coarsely chopped', '4 cloves garlic, roughly chopped', '1 (1 inch) piece fresh ginger root, peeled and chopped', '5 cashew halves', '1 tablespoon canola oil', '2 teaspoons cayenne pepper, or to taste', '1/2 teaspoon ground turmeric', '1 teaspoon ground cumin', '1 teaspoon ground coriander', '1 teaspoon salt', '1 teaspoon white sugar', '1/2 cup chopped tomato', '1/4 cup vegetable broth', '1/4 cup chopped fresh cilantro']",1 h 25 m,338.0,13.5,11.6,41.6,56.0,2715.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Easy Masoor Daal,Veg,IndianMainDishes,4.36238527297974,"['1 cup red lentils', '1 slice ginger, 1 inch piece, peeled', '1/4 teaspoon ground turmeric', '1 teaspoon salt', '1/2 teaspoon cayenne pepper, or to taste', '4 teaspoons vegetable oil', '4 teaspoons dried minced onion', '1 teaspoon cumin seeds']",35 m,185.0,5.2,25.0,11.1,0.0,868.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Coconut Tofu Keema,Veg,IndianMainDishes,4.32,"['¼ cup olive oil', '4 cloves garlic, pressed', '1 medium onions, minced', '1 (14 ounce) package extra firm tofu, diced', '1 (16 ounce) can coconut milk', '1 tablespoon ground cumin', '1 teaspoon curry powder', '1\u2009½ teaspoons ground ginger', '1 teaspoon salt', '1 tablespoon red pepper paste', '6 cups tomato sauce', '1\u2009½ cups frozen peas, thawed', '1\u2009½ cups chopped carrot']",1 hr 5 mins,235.0,17.1,17.4,7.8,0.0,1053.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Alicia's Aloo Gobi,Veg,IndianMainDishes,4.44221115112305,"['1/4 cup olive oil', '1 medium onion, chopped', '1 tablespoon minced garlic', '1 teaspoon cumin seeds', '1 (15 ounce) can diced tomatoes', '1 (15 ounce) can coconut milk', '2 tablespoons ground coriander', '1 tablespoon salt', '1 tablespoon ground turmeric', '1 tablespoon cayenne pepper', '1 teaspoon ground cinnamon', '1 teaspoon ground ginger', '1 teaspoon ground cardamom', '3 large yukon gold potatoes, peeled and cubed', '1 medium head cauliflower, chopped into bite size pieces', '1 (15 ounce) can garbanzo beans, drained', '2 tablespoons garam masala']",1 h 30 m,622.0,39.2,64.0,13.1,0.0,2172.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Chana Masala (Savory Indian Chick Peas),Veg,IndianMainDishes,4.35714292526245,"['1 onion, chopped', '1 tomato, chopped', '1 (1 inch) piece fresh ginger, peeled and chopped', '4 cloves garlic, chopped, or more to taste', '1 green chile pepper, seeded and chopped (optional)', '3 tablespoons olive oil', '2 bay leaves, or more to taste', '1 teaspoon chili powder', '1 teaspoon coriander powder', '1 teaspoon garam masala', '1/2 teaspoon turmeric powder', '1 pinch salt to taste', 'water as needed', '1 (15 ounce) can chickpeas', '1 teaspoon fresh cilantro leaves, for garnish, or more to taste']",30 m,413.0,22.8,46.2,9.4,0.0,525.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Aloo Matar,Veg,IndianMainDishes,4.22302150726318,"['1/4 cup vegetable oil', '2 medium onions, finely chopped', '1 tablespoon ginger garlic paste', '1 bay leaf', '4 large potatoes, peeled and chopped', '1 cup frozen peas', '1/2 cup tomato puree', '1 1/2 teaspoons garam masala', '1 1/2 teaspoons paprika', '1 teaspoon white sugar', '1 teaspoon salt', '2 tablespoons chopped cilantro']",45 m,487.0,14.5,81.7,9.0,0.0,898.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Navratan Korma,Veg,IndianMainDishes,4.51449298858643,"['3 tablespoons vegetable oil, divided', '1/3 cup mixed nuts (cashews, pistachios, almonds)', '1 medium onion, grated', '1/2 teaspoon garlic paste', '1/2 teaspoon ginger paste', '1 (8 ounce) can tomato sauce', '1 teaspoon cayenne pepper', '1/2 teaspoon ground turmeric', '2 teaspoons ground coriander', '1 teaspoon garam masala', '1 cup water', '1/4 cup raisins', '1/2 cup chopped carrots', '1/2 cup chopped green bell pepper', '1/2 cup chopped fresh green beans', '1/2 cup green peas', '1 cup chopped potatoes', '4 ounces paneer, cubed', '1/4 cup milk', '1/4 cup heavy cream', 'salt to taste']",35 m,378.0,24.8,32.4,10.1,26.0,1101.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Cod Curry,Veg,IndianMainDishes,4.53846168518066,"['2 tablespoons vegetable oil', '1 medium onion, chopped', '1 teaspoon garlic paste', '1 teaspoon ginger paste', '2 teaspoons cumin', '2 teaspoons coriander', '1 teaspoon cardamom', '1/2 teaspoon turmeric', '1/2 teaspoon salt', '2 fresh jalapeno peppers, seeded and diced', '1/4 cup chopped cilantro', '1 tablespoon lemon juice', '1 (28 ounce) can diced tomatoes with juice', '1 pound cod fillets, cut into chunks']",1 h 10 m,227.0,8.4,11.4,23.6,53.0,757.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Indian Style Sheekh Kabab,Veg,IndianMainDishes,4.62204742431641,"['2 pounds lean ground lamb', '2 onions, finely chopped', '1/2 cup fresh mint leaves, finely chopped', '1/2 cup cilantro, finely chopped', '1 tablespoon ginger paste', '1 tablespoon green chile paste', '2 teaspoons ground cumin', '2 teaspoons ground coriander', '2 teaspoons paprika', '1 teaspoon cayenne pepper', '2 teaspoons salt', '1/4 cup vegetable oil', 'skewers']",2 h 25 m,304.0,22.6,4.7,20.1,76.0,665.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Authentic and Easy Shrimp Curry,Veg,IndianMainDishes,4.692307472229,"['1/4 cup vegetable oil', '1 large onion, chopped', '10 fresh curry leaves (optional)', '1 tablespoon ginger garlic paste', '1 teaspoon ground coriander', '2/3 teaspoon salt', '1/2 teaspoon ground turmeric', '1 tomato, finely chopped', '1 teaspoon ground red chile pepper', '2 pounds medium shrimp - peeled and deveined', '1/4 cup water', '1 teaspoon garam masala', 'chopped fresh cilantro to taste']",20 m,270.0,12.8,5.3,30.7,277.0,734.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Potato Curry,Veg,IndianMainDishes,4.15652179718018,"['3 tablespoons ghee', '1 teaspoon cumin seeds', '1 teaspoon turmeric', '1 teaspoon ground coriander', '1 teaspoon salt', '1/2 teaspoon mustard seed', '1/2 teaspoon ground cayenne pepper', '6 medium potatoes, peeled and diced', '2 cups water', '1 cup yogurt', '2/3 cup frozen green peas']",1 h,396.0,11.3,64.7,11.3,28.0,677.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Vegetarian Chickpea Curry with Turnips,Veg,IndianMainDishes,4.57391309738159,"['2 tablespoons olive oil', '1/2 onion, diced', '2 cloves garlic, minced', '1 tablespoon ground cumin', '2 tablespoons curry powder', '1 (15 ounce) can garbanzo beans (chickpeas), undrained', '1/2 red bell pepper, diced', '1/2 turnip, peeled and diced', '1 cup corn kernels', '1/2 (15 ounce) can tomato sauce', '1 pinch crushed red pepper flakes (optional)', '1 pinch salt', '1 pinch cracked black pepper']",2 h 5 m,226.0,8.9,33.6,6.7,0.0,502.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Authentic Saag Paneer,Veg,IndianMainDishes,4.59459447860718,"['2 bunches spinach, roughly chopped', '1 bunch fenugreek leaves, roughly chopped', '1 tablespoon canola oil', '1/2 pound paneer, cubed', '2 tablespoons canola oil', '1 teaspoon cumin seeds', '1 onion, thinly sliced', '1 teaspoon grated fresh ginger', '3 cloves garlic, minced', '1 tomato, diced', '2 teaspoons garam masala', '1/2 teaspoon ground turmeric', '1/2 teaspoon cayenne pepper', '1/2 cup heavy whipping cream', 'salt to taste']",1 h,299.0,19.9,18.0,17.1,29.0,480.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Indian Stir-Fried Shrimp in Cream Sauce (Bhagari Jhinga),Veg,IndianMainDishes,4.48453617095947,"['1 tablespoon tomato paste', '1/2 teaspoon salt', '1 teaspoon white sugar', '1 teaspoon garam masala', '1/2 teaspoon ground cumin', '1/8 teaspoon ground red pepper', '3 tablespoons finely chopped fresh cilantro', '1 fresh jalapeno pepper, chopped', '1 tablespoon fresh lemon juice', '1 cup coconut milk', '3 tablespoons vegetable oil', '1 teaspoon black mustard seed', '3 cloves garlic, minced', '1 1/4 pounds medium shrimp - peeled and deveined', '1 tablespoon cornstarch', '1 tablespoon cold water']",30 m,338.0,23.9,7.3,25.0,216.0,582.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Delightful Indian Coconut Vegetarian Curry in the Slow Cooker,Veg,IndianMainDishes,3.94565224647522,"['5 russet potatoes, peeled and cut into 1-inch cubes', '1/4 cup curry powder', '2 tablespoons flour', '1 tablespoon chili powder', '1/2 teaspoon red pepper flakes', '1/2 teaspoon cayenne pepper', '1 large green bell pepper, cut into strips', '1 large red bell pepper, cut into strips', '1 (1 ounce) package dry onion soup mix (such as lipton®)', '1 (14 ounce) can unsweetened coconut cream', 'water, as needed', '1 1/2 cups matchstick-cut carrots', '1 cup green peas (optional)', '1/4 cup chopped fresh cilantro']",4 h 20 m,370.0,18.3,48.8,8.2,0.0,373.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Vegetable Masala,Veg,IndianMainDishes,4.23333311080933,"['2 potatoes, peeled and cubed', '1 carrot, chopped', '10 French-style green beans, chopped', '1 quart cold water', '1/2 cup frozen green peas, thawed', '1 teaspoon salt', '1/2 teaspoon ground turmeric', '1 tablespoon vegetable oil', '1 teaspoon mustard seed', '1 teaspoon ground cumin', '1 onion, finely chopped', '2 tomatoes - blanched, peeled and chopped', '1 teaspoon garam masala', '1/2 teaspoon ground ginger', '1/2 teaspoon garlic powder', '1/2 teaspoon chili powder', '1 sprig cilantro leaves, for garnish']",30 m,167.0,4.3,29.8,4.2,0.0,641.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Moong Dal,Veg,IndianMainDishes,4.15909099578857,"['2 1/2 cups moong dal (split husked mung beans)', '2 1/2 cups water', '1 1/2 teaspoons salt', '1/2 teaspoon grated fresh ginger root', '1 teaspoon diced jalapeno chile pepper', '1/2 cup diced tomatoes', '3 teaspoons lemon juice', '1/2 teaspoon ground turmeric', '2 teaspoons vegetable oil', '1 teaspoon cumin seed', '1/2 dried red chile pepper', '1 pinch asafoetida', '2 cloves garlic, finely chopped', '1/4 cup chopped fresh cilantro']",1 h 15 m,330.0,3.0,57.1,21.1,0.0,667.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Tofu Keema,Veg,IndianMainDishes,4.07,"['1 (16 ounce) package firm tofu', '3 tablespoons vegetable oil', '1 teaspoon cumin seeds', '1  onion, chopped', '1 teaspoon minced fresh ginger root', '1 teaspoon minced garlic', '1 cup frozen peas, thawed', '2 teaspoons curry powder', '1 cup chopped fresh tomatoes', 'salt to taste', '1  fresh jalapeno pepper, chopped']",40 mins,340.0,21.8,20.2,21.4,0.0,547.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Tofu Vindaloo,Veg,IndianMainDishes,4.4,"['3 tablespoons vegetable oil', '2 inch piece fresh ginger root, peeled and minced', '2  onions, halved and sliced', '½ head cauliflower, cut into florets', '3  carrots, peeled and sliced', '3 tablespoons vindaloo curry powder', '6 tablespoons tomato paste', '1 (15 ounce) can coconut milk', '1 cup vegetable broth', '1 (15 ounce) can garbanzo beans (chickpeas), drained and rinsed', '1 pound extra-firm tofu, cut into 1-inch cubes', '1 cup mushrooms, sliced', 'salt to taste']",1 hr,413.0,27.8,33.2,15.1,0.0,401.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Indian Cauliflower,Veg,IndianMainDishes,4.06976747512817,"['1 large head cauliflower', '4 tablespoons vegetable oil', '1/2 teaspoon ground turmeric', '1 small onion, minced', '2 tomatoes, pureed', '1 teaspoon garlic powder', '3 teaspoons garam masala (optional)', 'salt to taste', '1/2 head lettuce']",50 m,168.0,11.6,15.1,4.6,0.0,62.0,"['Indian Main Dishes', 'Indian', 'Veg']"
Chicken Makhani (Indian Butter Chicken),Non-Veg,IndianMainDishes,4.5,"['1 tablespoon peanut oil', '1  shallot, finely chopped', '¼  white onion, chopped', '2 tablespoons butter', '2 teaspoons lemon juice', '1 tablespoon ginger garlic paste', '1 teaspoon garam masala', '1 teaspoon chili powder', '1 teaspoon ground cumin', '1  bay leaf', '¼ cup plain yogurt', '1 cup half-and-half', '1 cup tomato puree', '¼ teaspoon cayenne pepper, or to taste', '1 pinch salt', '1 pinch black pepper', '1 tablespoon peanut oil', '1 pound boneless, skinless chicken thighs, cut into bite-size pieces', '1 teaspoon garam masala', '1 pinch cayenne pepper', '1 tablespoon cornstarch', '¼ cup water']",35 mins,408.0,27.8,15.6,23.4,107.0,523.0,"['Indian Main Dishes', 'Indian', 'Non-Veg']"
Kerala Chicken Curry,Non-Veg,IndianMainDishes,5,"['2 tablespoons olive oil', '1 teaspoon black mustard seeds', '1 teaspoon whole cumin seeds', '1  red onion, thinly sliced', '1 tablespoon minced fresh ginger root', '8  fresh curry leaves (optional)', '1 (15 ounce) can diced tomatoes', '3 teaspoons ground coriander', '2 teaspoons red chili powder', '1 teaspoon ground turmeric', '1  cinnamon stick', '1\u2009½ pounds chicken breasts, cut into large chunks', 'water to cover', '1 teaspoon salt']",1 hr 10 mins,248.0,11.9,7.8,25.8,68.0,569.0,"['Indian Main Dishes', 'Indian', 'Non-Veg']"
Instant Pot® Chicken Biryani,Non-Veg,IndianMainDishes,4.75,"['1 1/2 cups basmati rice', 'water', '7 ounces skinless, boneless chicken breast, cut into 1-inch cubes', '7 ounces skinless, boneless chicken thighs, cut into 1-inch cubes', '3 tablespoons Greek yogurt', '1 1/2 tablespoons fresh lemon juice', '1/2 tablespoon grated fresh ginger', '1/2 tablespoon minced fresh garlic', '1 1/2 teaspoons garam masala, divided', 'salt and ground black pepper to taste', '3 tablespoons ghee', '2 whole cloves', '2 cardamom pods, crushed', '1 bay leaf', '1/2 cinnamon stick', '1 teaspoon coriander seed', '1 teaspoon brown mustard seed', '3/4 teaspoon cumin seeds', '1 large red onion, cut in half and thinly sliced', '1 1/2 cups chicken stock', '1/2 cup roughly chopped fresh cilantro', '1/4 cup roughly chopped fresh mint leaves', '1/2 teaspoon ground turmeric', '1/2 teaspoon paprika', '1/2 teaspoon red chile powder']",1 h 40 m,498.0,16.6,62.4,25.4,84.0,543.0,"['Indian Main Dishes', 'Indian', 'Non-Veg']"
Reshmi Kebab (Silken Kebabs),Non-Veg,IndianMainDishes,4.4,"['6  almonds', '6  jalapeno peppers, seeded and chopped', '8 cloves garlic', '1 inch piece fresh ginger root, peeled', '1 cup chopped fresh cilantro', 'salt to taste', '1  lemon, juiced', '½ cup heavy cream', '2 pounds skinless, boneless chicken breast halves - cut into 1 1/2 inch pieces', '2 tablespoons butter']",1 day,293.0,15.6,5.3,33.0,124.0,115.0,"['Indian Main Dishes', 'Indian', 'Non-Veg']"
Easy Chicken Madras Recipe,Non-Veg,IndianMainDishes,4.25,"['2  onions, coarsely chopped', '2  red chile peppers, stemmed and seeded', '1 (2 inch) piece fresh ginger, grated', '2 cloves garlic', '1 splash water, or as needed', 'salt and ground black pepper to taste', '1 tablespoon vegetable oil', '¼ cup madras curry powder', '4  skinless, boneless chicken breasts, cut into large chunks', '1 (14 ounce) can chopped tomatoes', '½ cup chopped cilantro, or to taste']",1 hr 25 mins,246.0,6.8,20.7,25.6,59.0,256.0,"['Indian Main Dishes', 'Indian', 'Non-Veg']"
Chicken Tikka Masala,Non-Veg,IndianMainDishes,4.39,"['1 cup yogurt', '1 tablespoon lemon juice', '2 teaspoons fresh ground cumin', '1 teaspoon ground cinnamon', '2 teaspoons cayenne pepper', '2 teaspoons freshly ground black pepper', '1 tablespoon minced fresh ginger', '1 teaspoon salt, or to taste', '3  boneless skinless chicken breasts, cut into bite-size pieces', '4  long skewers', '1 tablespoon butter', '1 clove garlic, minced', '1  jalapeno pepper, finely chopped', '2 teaspoons ground cumin', '2 teaspoons paprika', '1 teaspoon salt, or to taste', '1 (8 ounce) can tomato sauce', '1 cup heavy cream', '¼ cup chopped fresh cilantro']",2 hrs 20 mins,404.0,28.9,13.3,24.6,143.0,1592.0,"['Indian Main Dishes', 'Indian', 'Non-Veg']"
